Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Wheel_Right,8.85083389801089E-06,1.13263486438116E-06,0.0330151558582432,0,0,0,0.797124355204373,0.00167164951583944,1.88885393592855E-08,-1.57728784929501E-07,0.0016716754693355,1.13974900172034E-07,0.00309189997982022,0,0,0,0,0,0,package://AuG2PeR/meshes/Wheel_Right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Wheel_Right.STL,,hoverboard_motor_assembly-2,Wheel_R,Axis_Wheel_Right,Wheel_Right,continuous,0.123999999981658,-0.0769999839300791,0.0593999999999968,-3.1415926535897,0,0,Right_Rocker,0,0,-1,,,,,,,,,,,,
Right_B_Swivel,0.005515662943126,-7.42568814393607E-05,0.0186899458136185,0,0,0,0.0239506697641527,7.17383468821749E-06,-2.05589082537144E-10,-1.37867746594193E-06,7.02766607388251E-06,1.9549650717167E-08,8.17491470691084E-06,0,0,0,0,0,0,package://AuG2PeR/meshes/Right_B_Swivel.STL,0.8,0.807843137254902,0.8,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Right_B_Swivel.STL,,Right_Rocker-1/Wheel_1-1/Swivel-1,Swivel_R,Axis_Right_Back_Swivel,Right_B_Swivel,continuous,-0.100000000014765,-0.0619999838767119,-0.0297499999999906,1.5707963267949,0,0,Right_Rocker,0,0,-1,,,,,,,,,,,,
Right_B_Castor,-6.87307433189233E-10,9.44857386775411E-10,0.000250008084508702,0,0,0,0.0665983351352762,3.12375758901432E-05,-6.78465443472226E-11,7.26282297750815E-14,3.12379260453259E-05,-5.43860673987543E-13,5.72994448895559E-05,0,0,0,0,0,0,package://AuG2PeR/meshes/Right_B_Castor.STL,0.8,0.807843137254902,0.8,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Right_B_Castor.STL,,Right_Rocker-1/Wheel_1-1/JDPE 0751 1001 P - wheel.step-1,Castor_R,Axis_Right_Back_Castor,Right_B_Castor,continuous,0.0285008801781865,-0.00011103633049081,0.061500000000026,1.57079632679491,0,-0.0126675764120638,Right_B_Swivel,0,0,-1,,,,,,,,,,,,
Bump_1,-0.0118531903170354,-1.93171966911265E-06,7.52520065997082E-06,0,0,0,0.00528170144115613,3.3926046898058E-07,-4.00789465007217E-13,-1.26818239225865E-10,2.56073208700271E-07,-6.22679150533447E-13,1.8769965475622E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_1.STL,,Bump_switch-1,Bump_1,Axis_Bump_1,Bump_1,fixed,0.362215337101175,-0.123498506281639,0.0149999999999999,0,0,0,Body,0,0,0,,,,,,,,,,,,
Bump_2,-0.0118531903170354,2.30682803311621E-05,-0.000521699897504946,0,0,0,0.00528170144115614,3.39260468980583E-07,-4.00789465392349E-13,-1.26818239225903E-10,2.56073208700274E-07,-6.2267915066983E-13,1.87699654756222E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_2.STL,,Bump_switch-15,Bump_2,Axis_Bump_2,Bump_2,fixed,0.362215337101175,0.125476493718361,0.0155292250981648,0,0,0,Body,0,0,0,,,,,,,,,,,,
Bump_3,-2.30682803309401E-05,-0.0118531903170355,-0.000521699897504946,0,0,0,0.00528170144115615,2.56073208700274E-07,4.00789465086139E-13,6.22679150683492E-13,3.39260468980584E-07,-1.2681823922615E-10,1.87699654756222E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_3.STL,,Bump_switch-18,Bump_3,Axis_Bump_3,Bump_3,fixed,0.112740335108856,0.325001479611237,0.0155292250981648,0,0,0,Body,0,0,0,,,,,,,,,,,,
Bump_4,-2.30682803309401E-05,-0.0118531903170354,-0.000521699897504949,0,0,0,0.00528170144115617,2.56073208700275E-07,4.0078946509501E-13,6.22679150509186E-13,3.39260468980583E-07,-1.2681823922615E-10,1.87699654756222E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_4.STL,,Bump_switch-16,Bump_4,Axis_Bump_4,Bump_4,fixed,-0.106259664891144,0.325001479611237,0.0155292250981649,0,0,0,Body,0,0,0,,,,,,,,,,,,
Bump_5,0.0118531903170354,-2.30682803311621E-05,-0.000521699897504942,0,0,0,0.00528170144115616,3.39260468980585E-07,-4.00789465465729E-13,1.26818239225887E-10,2.56073208700275E-07,6.22679150799592E-13,1.87699654756223E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_5.STL,,Bump_switch-22,Bump_5,Axis_Bump_5,Bump_5,fixed,-0.355784662898825,0.125526493718361,0.0155292250981649,0,0,0,Body,0,0,0,,,,,,,,,,,,
Bump_6,0.0118531903170351,-2.30682803310511E-05,-0.000521699897504935,0,0,0,0.00528170144115613,3.3926046898058E-07,-4.00789464984863E-13,1.26818239225895E-10,2.56073208700272E-07,6.22679150593355E-13,1.8769965475622E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_6.STL,,Bump_switch-20,Bump_6,Axis_Bump_6,Bump_6,fixed,-0.355784662898825,-0.12347350628164,0.0155292250981649,0,0,0,Body,0,0,0,,,,,,,,,,,,
Bump_7,2.30682803309401E-05,0.0118531903170356,-0.000521699897504941,0,0,0,0.00528170144115605,2.5607320870027E-07,4.00789465004449E-13,-6.22679150871805E-13,3.39260468980578E-07,1.26818239226069E-10,1.87699654756218E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_7.STL,,Bump_switch-24,Bump_7,Axis_Bump_7,Bump_7,fixed,-0.106309660906506,-0.322998492174515,0.0155292250981648,0,0,0,Body,0,0,0,,,,,,,,,,,,
Bump_8,2.30682803309956E-05,0.0118531903170354,-0.000521699897504941,0,0,0,0.0052817014411561,2.56073208700271E-07,4.00789465028166E-13,-6.22679150781425E-13,3.39260468980579E-07,1.26818239226069E-10,1.87699654756218E-07,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_8.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AuG2PeR/meshes/Bump_8.STL,,Bump_switch-26,Bump_8,Axis_Bump_8,Bump_8,fixed,0.112690335108857,-0.322998492174515,0.0155292250981648,0,0,0,Body,0,0,0,,,,,,,,,,,,
